B01001,Sex by Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,California,,"Alameda County, CA",,"Alpine County, CA",,"Amador County, CA",,"Butte County, CA",,"Calaveras County, CA",,"Colusa County, CA",,"Contra Costa County, CA",,"Del Norte County, CA",,"El Dorado County, CA",,"Fresno County, CA",,"Glenn County, CA",,"Humboldt County, CA",,"Imperial County, CA",,"Inyo County, CA",,"Kern County, CA",,"Kings County, CA",,"Lake County, CA",,"Lassen County, CA",,"Los Angeles County, CA",,"Madera County, CA",,"Marin County, CA",,"Mariposa County, CA",,"Mendocino County, CA",,"Merced County, CA",,"Modoc County, CA",,"Mono County, CA",,"Monterey County, CA",,"Napa County, CA",,"Nevada County, CA",,"Orange County, CA",,"Placer County, CA",,"Plumas County, CA",,"Riverside County, CA",,"Sacramento County, CA",,"San Benito County, CA",,"San Bernardino County, CA",,"San Diego County, CA",,"San Francisco County, CA",,"San Joaquin County, CA",,"San Luis Obispo County, CA",,"San Mateo County, CA",,"Santa Barbara County, CA",,"Santa Clara County, CA",,"Santa Cruz County, CA",,"Shasta County, CA",,"Sierra County, CA",,"Siskiyou County, CA",,"Solano County, CA",,"Sonoma County, CA",,"Stanislaus County, CA",,"Sutter County, CA",,"Tehama County, CA",,"Trinity County, CA",,"Tulare County, CA",,"Tuolumne County, CA",,"Ventura County, CA",,"Yolo County, CA",,"Yuba County, CA",
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
Total:,324697795,0,39283497,0,1656754,0,1039,161,38429,0,225817,0,45514,0,21454,0,1142251,0,27495,0,188563,0,984521,0,27976,0,135940,0,180701,0,17977,0,887641,0,150691,0,64195,0,30818,0,10081570,0,155433,0,259943,0,17420,0,87224,0,271382,0,8907,0,14310,0,433410,0,139623,0,99244,0,3168044,0,385512,0,18660,0,2411439,0,1524553,0,60376,0,2149031,0,3316073,0,874961,0,742603,0,282165,0,767423,0,444829,0,1927470,0,273962,0,179212,0,3040,161,43468,0,441829,0,499772,0,543194,0,96109,0,63912,0,12700,0,461898,0,54045,0,847263,0,217352,0,76360,0
Male:,159886919,5817,19526298,1141,814515,36,554,95,20640,136,111735,86,22663,295,10994,120,558502,143,14745,178,93922,152,491146,86,14218,119,67576,212,92752,146,9062,121,454843,149,82995,130,31865,130,20332,216,4969382,0,74972,135,126956,129,8872,186,43242,178,136987,167,4626,191,7634,311,221001,106,69603,96,48947,170,1563832,0,188162,122,9282,132,1200960,89,744997,0,30151,113,1069766,234,1669515,0,446286,173,370152,107,143006,198,379328,107,222659,189,974422,201,135634,162,88047,143,1625,115,21708,83,219818,78,244045,195,268871,116,47866,76,31773,120,6535,100,230966,98,28112,151,419111,113,105438,189,38950,164
Under 5 years,10112614,3826,1254607,535,49611,0,22,14,796,57,6395,23,920,115,742,76,33495,127,884,106,4431,51,39692,53,1159,143,3684,77,7652,103,513,55,35815,44,5955,31,1857,85,796,100,313551,0,5912,88,5999,73,412,52,2588,56,10980,99,212,35,253,149,16080,60,3680,51,2214,134,96241,0,10507,30,420,51,80545,0,50401,0,1914,34,78467,103,107496,0,20174,53,26799,88,6678,94,22587,42,14496,48,59811,151,7203,78,5423,99,100,31,1167,65,13822,82,12771,50,19998,107,3372,67,1938,43,334,71,19369,33,1219,63,25795,71,6163,125,3097,98
5 to 9 years,10276829,16598,1257974,6123,49375,1054,21,16,730,129,6941,373,1253,252,919,131,36175,989,787,146,5264,406,39372,1084,995,197,3631,334,6961,580,484,89,35873,1281,5478,413,1863,263,534,94,305531,2789,6023,449,7011,456,452,118,2596,260,11871,556,283,62,472,152,16388,626,3954,264,2699,273,95037,1503,12556,577,411,118,85529,1481,51384,1287,1876,274,80167,1610,98573,1899,15900,546,29303,1008,7237,510,23697,825,14196,750,60829,1130,7407,521,5689,347,73,27,1372,181,13740,544,14417,676,19923,821,3668,290,2209,236,278,80,21062,699,1451,209,26436,866,6495,463,3123,312
10 to 14 years,10708022,16572,1318355,6152,48777,1054,53,25,849,131,5985,381,977,263,817,130,39793,989,978,169,5988,452,41586,1087,1154,189,3777,321,7556,583,553,90,38267,1285,6190,412,1848,271,718,100,320357,2789,6259,440,8676,457,349,93,2738,260,11486,556,254,64,456,141,16623,633,4668,264,2297,259,105267,1502,12846,585,430,115,92316,1481,52729,1286,2582,283,83557,1596,103482,1899,15345,562,30040,1006,7355,521,21847,829,13614,751,62964,1143,7767,538,5206,342,64,27,1266,166,14671,544,14430,678,22568,822,3725,300,2351,229,305,76,20810,704,1146,187,29918,868,6586,449,3139,321
15 to 17 years,6429069,3398,779960,618,28149,36,9,11,570,67,4080,64,825,92,521,35,23934,68,409,21,3773,80,22653,34,660,57,2107,64,4327,83,335,61,21196,89,3247,109,1142,73,432,29,193723,0,3533,60,4974,131,233,22,1586,39,6891,46,191,70,360,144,9083,63,2800,90,1606,124,63648,0,8122,49,261,44,54914,88,30639,0,1469,52,50052,104,60115,0,8578,86,17865,53,4331,118,13661,94,8130,54,35944,86,4723,85,3500,89,27,24,776,49,8378,58,8967,144,12746,54,2185,38,1241,59,239,70,11971,82,749,68,17629,59,4059,97,1692,128
18 and 19 years,4411135,5291,529837,837,19354,0,13,20,448,103,3864,115,461,111,263,38,13715,113,225,99,2089,110,13929,38,391,127,2327,164,2701,101,270,100,12987,94,2181,111,692,151,399,64,132445,0,2225,105,2679,126,134,23,930,28,5163,138,102,90,16,17,6355,89,1711,24,992,170,41352,0,4535,129,260,75,35188,63,17990,0,831,15,31692,89,48460,0,6298,67,10973,99,6934,281,7597,132,10282,248,22629,93,6461,198,1993,87,32,42,480,32,5294,65,6064,157,7503,51,1234,63,669,28,165,73,7066,88,598,124,11334,38,5914,150,948,64
20 years,2352092,13695,295438,4457,10221,694,0,12,247,120,2876,484,152,115,177,100,6830,602,191,108,1220,270,7845,640,239,120,1210,356,1176,245,66,43,7757,684,1367,288,271,125,418,99,73576,1774,1206,282,1148,258,68,44,551,182,2582,436,5,8,407,204,3974,421,1028,195,273,135,22819,1008,2184,298,61,55,18969,893,9706,658,607,152,17093,921,29802,1289,3350,458,5671,512,4252,744,4185,543,5712,679,12056,834,3640,523,925,191,0,12,390,94,3171,430,3275,429,4239,458,419,134,604,210,73,62,3721,504,342,125,6440,567,4062,762,589,189
21 years,2303286,14015,285103,3566,10048,725,7,11,183,111,2938,466,272,157,275,90,6453,536,86,46,1101,255,7613,679,175,95,979,246,2195,392,65,55,7173,622,1770,330,420,191,337,95,71788,1535,1292,277,773,233,71,57,421,133,2283,453,24,24,197,152,3040,378,923,206,348,208,22174,936,2232,305,106,70,16523,985,9589,701,426,106,17132,918,29878,1376,3777,380,6062,482,4373,835,3720,548,5614,614,11992,872,3132,477,1157,279,0,12,190,68,2742,336,2753,380,4071,508,774,204,402,145,40,55,3489,501,219,88,5858,626,2976,557,452,147
22 to 24 years,6639841,18381,839739,5625,30365,856,21,21,452,118,6791,572,707,215,293,108,21039,671,521,120,2707,301,21381,789,495,145,4069,397,4076,379,274,91,21173,763,4417,414,927,169,1692,198,216559,2141,2765,325,4198,335,236,68,1481,203,5879,606,119,77,358,175,9322,495,2525,268,1620,262,63434,1357,5907,365,113,73,50372,1167,30333,915,1058,152,52257,1203,83294,1582,16739,554,14749,515,7699,738,13649,657,13969,782,39195,1060,6851,676,3218,271,33,43,502,94,9865,480,8546,399,10838,673,2008,220,867,233,145,88,9836,581,1018,159,17438,577,7325,614,2019,232
25 to 29 years,11737463,4900,1591508,680,68560,0,8,18,1237,59,8352,3,1032,97,814,71,36317,102,1295,114,5039,148,40691,45,937,33,4895,130,7898,119,355,44,38928,36,7942,53,1835,92,2898,190,431653,0,5265,97,5646,107,423,57,2477,67,10808,173,246,88,346,169,16585,64,4335,63,2430,230,123580,0,10448,94,561,116,89121,0,61383,0,2022,34,88174,126,149715,0,53070,132,27498,63,8899,116,28906,74,16982,123,83387,0,9445,161,5997,69,85,58,1147,55,17181,65,16942,51,20519,0,3560,62,2093,121,289,33,17242,20,1959,133,30386,50,8342,121,3328,110
30 to 34 years,11073985,4231,1484698,740,69852,0,30,27,1190,91,6798,85,1016,90,750,36,36630,130,1233,134,4917,84,36453,53,861,13,4602,148,7143,148,508,67,35258,53,7165,31,1814,100,2189,160,396136,0,4776,85,6354,234,577,92,2534,57,9841,92,209,34,765,370,16699,64,4504,106,2542,68,110588,0,10855,25,411,40,82411,0,58220,0,2189,58,78110,0,135581,0,53553,93,25487,0,8828,222,30212,28,14674,39,82111,81,8171,150,5572,67,112,46,1165,43,16042,105,16411,114,19380,146,3221,72,1921,77,248,19,16005,14,1891,181,28134,54,6890,121,2959,127
35 to 39 years,10520984,19642,1359631,6596,63787,1349,44,29,1444,231,6140,397,921,223,647,99,36957,971,1216,178,5612,339,33755,1023,890,204,4418,417,6341,425,445,105,31019,1073,6808,416,1989,233,1941,199,357331,3246,4400,346,7271,512,419,131,2937,279,8287,560,237,74,644,336,15709,652,4530,298,2932,279,102827,1855,11745,617,506,122,77621,1564,52491,1208,2311,266,71548,1528,118344,1980,41904,989,24713,786,9255,466,29136,948,13281,585,73745,1585,7845,518,5762,355,88,64,1064,153,14749,647,15797,751,17131,780,3001,270,1814,257,276,84,15387,770,1641,247,26792,834,7249,431,2537,299
40 to 44 years,9904665,20566,1262846,6501,59958,1350,19,15,1286,215,6366,386,1249,225,649,98,37785,944,1044,187,4704,359,28325,1041,774,177,4569,407,5596,469,620,99,28167,1070,5585,420,1467,240,1420,186,333398,3247,4518,351,8286,533,474,121,2296,283,8456,548,273,106,317,133,14462,656,4402,315,2639,260,101051,1855,12799,606,344,102,75723,1563,47054,1208,1677,267,65835,1520,106088,1980,31520,992,23328,785,6890,438,26219,943,12757,594,69603,1577,7997,502,3974,345,113,86,1205,160,13258,659,15314,743,17228,777,2846,276,1810,238,326,69,13853,777,1698,247,25594,828,5415,407,2223,281
45 to 49 years,10257989,4596,1279131,682,56727,0,9,12,1549,140,5804,69,1313,145,632,29,39616,129,796,94,6145,104,27909,30,791,34,3841,104,5061,160,519,52,26201,21,5488,34,1738,107,1213,116,341363,0,4288,111,10077,52,460,62,2527,54,7747,57,253,51,292,197,13872,61,4556,82,2846,108,110339,0,12886,43,401,22,76187,0,47356,0,1908,49,66010,177,103905,0,32392,35,23191,0,7894,213,27075,107,12228,53,68738,0,8485,115,4880,41,54,44,1135,17,13694,82,15651,62,16262,111,2757,79,1722,44,393,53,13106,116,1542,131,27615,36,5718,108,1974,96
50 to 54 years,10494113,3747,1261859,539,54080,0,34,25,1491,97,6195,117,1477,100,640,25,40095,0,924,99,6738,69,27580,35,905,99,3738,89,4960,159,650,107,25295,66,4855,32,2032,34,1155,71,329698,0,4154,87,10074,39,591,72,2653,87,7692,101,234,24,500,85,13019,78,4678,74,2995,58,110680,0,12889,27,718,80,75876,0,47297,0,2090,65,64955,0,102918,0,30260,68,22943,0,8387,179,25939,106,12392,38,66398,0,8533,67,5480,70,51,36,1240,43,14813,129,16411,61,16142,0,2927,54,2029,64,473,64,12538,92,1638,91,28726,87,5805,118,2179,103
55 to 59 years,10510995,13953,1209041,4848,51870,947,29,27,1475,209,7151,434,1956,309,783,95,39085,861,978,172,7875,464,26456,815,839,160,4211,316,4827,419,651,102,25026,917,4391,287,2345,267,976,127,305143,2240,4097,340,9412,475,741,125,2960,276,7013,416,239,64,715,179,12139,489,4853,225,3879,360,106335,1463,12458,546,747,133,72694,1258,45569,926,2117,183,61973,1175,99127,1492,26821,932,20825,755,8725,546,25252,781,12748,549,60080,1018,8885,460,6293,337,239,52,1596,176,14498,483,16593,549,16561,557,2715,226,2348,222,434,143,11568,498,2027,237,29615,736,5953,347,2130,226
60 and 61 years,4058895,11507,463834,3944,19475,872,26,21,715,191,2692,388,749,200,230,80,14081,661,442,127,3095,376,10160,676,306,86,1951,263,1397,238,299,98,8803,673,1541,234,1190,203,445,99,117862,2004,1723,264,3940,331,402,119,1363,250,2762,334,154,87,194,104,4896,433,1921,236,1610,287,38883,1287,5303,432,395,135,26435,847,17922,793,633,118,23476,926,37845,1192,10572,578,8716,526,3847,439,9892,616,5418,412,23073,876,3509,373,2629,253,23,21,615,111,6110,422,7314,504,5362,451,1295,232,726,184,278,128,4833,445,782,214,10646,671,1939,266,939,205
62 to 64 years,5576339,14037,614865,4658,26247,910,39,18,1081,193,4080,352,1248,272,341,91,19161,769,494,128,4675,406,13105,754,566,157,2734,284,2611,386,508,93,12387,812,1670,250,1481,248,604,124,151183,1926,2333,292,5458,430,428,105,1984,278,3564,383,355,97,262,130,6634,429,2509,217,2624,311,48077,1215,6924,486,601,145,35145,1047,24287,787,924,167,30610,1134,52807,1223,15213,924,10914,646,6029,402,13005,707,6246,445,28777,838,5643,408,3670,261,81,49,1204,164,7915,461,10451,552,7660,470,1657,216,1241,175,472,134,5766,527,1534,232,13604,683,2857,278,1185,221
65 and 66 years,3382330,9578,371074,3539,15412,806,41,26,769,160,2751,298,670,159,262,86,11153,700,414,124,3011,353,8121,549,358,120,1717,264,1741,260,275,56,6884,538,1225,210,901,215,372,80,89956,1793,1382,230,3345,360,409,115,1336,233,2050,245,238,87,198,134,4490,360,1717,209,1617,244,29533,879,4514,437,444,117,20819,825,14335,597,395,96,17117,721,31201,1017,9217,514,6140,456,3900,349,7839,478,4061,386,16820,769,3566,368,2358,241,34,28,600,125,4901,355,6874,433,5058,460,1095,178,747,169,299,91,3873,392,864,150,9124,572,1777,241,754,171
67 to 69 years,4562962,13026,487802,3811,20220,727,11,10,888,140,3663,326,1237,265,312,87,15750,632,378,89,3914,371,10555,595,453,109,2200,257,1845,281,399,69,9186,636,1265,203,1587,260,429,78,115290,1697,1873,264,4779,391,583,127,1805,250,2867,256,234,90,349,142,5152,381,2293,237,2753,280,37962,1023,6162,340,536,103,29615,920,18711,705,854,168,24836,855,39851,1108,12076,557,8637,497,5520,419,10646,572,5355,422,21706,786,4392,377,3514,283,185,72,1072,151,6687,432,8828,466,5920,476,1177,186,1028,183,344,126,4518,375,1506,235,10665,512,2320,229,909,155
70 to 74 years,5857722,11278,617578,4097,25079,727,69,29,1414,190,4843,288,1790,254,365,91,20423,771,644,139,4907,404,13796,573,408,95,3246,260,2400,283,484,81,11162,585,1816,212,1857,242,573,92,140684,1877,3043,306,7016,404,469,101,2753,266,3416,291,244,133,166,107,6417,428,3039,227,3467,320,51634,1058,8791,466,671,119,40484,1090,22801,712,985,163,27544,929,51177,1115,14198,640,10708,519,6200,387,12741,551,7748,499,27455,709,5411,385,4306,308,69,41,1629,166,7517,442,11140,536,7899,486,1477,184,1666,174,434,106,6002,438,1729,210,14917,557,3044,237,1211,197
